Time,PositionX,PositionY,PositionZ,Speed,SteeringAngle
0,476.36,42.216,223.707,0,0
0,476.36,42.21357,223.7071,0.1202514,0.8330127
0.02,476.36,42.21357,223.7071,0.1202514,0.04196803
0.02,476.36,42.20899,223.7065,0.2162101,0.8323978
0.04,476.36,42.20899,223.7065,0.2162101,0.1098087
0.06,476.36,42.20221,223.7045,0.3114531,0.1846433
0.08,476.3601,42.19329,223.7018,0.4085355,0.2528365
0.09999999,476.3601,42.18223,223.6981,0.5057751,0.323896
0.12,476.3601,42.16904,223.6934,0.6027221,0.3953179
0.14,476.3596,42.15553,223.69,0.6306675,0.3802046
0.1449224,476.3591,42.14326,223.687,0.5765853,0.8276669
0.16,476.3591,42.14326,223.687,0.5765853,0.3365122
0.18,476.3589,42.13194,223.6848,0.5374418,0.3011332
0.2,476.3586,42.12168,223.6834,0.4953721,0.2617626
0.22,476.3586,42.11258,223.6828,0.4487252,0.2246781
0.2258455,476.3586,42.10464,223.683,0.4015855,0.8313063
0.24,476.3586,42.10464,223.683,0.4015855,0.1874841
0.2525658,476.3588,42.09788,223.6841,0.3610696,0.8282223
0.26,476.3588,42.09788,223.6841,0.3610696,0.1513618
0.28,476.3591,42.09221,223.6856,0.3168924,0.1275255
0.2848379,476.3592,42.08755,223.687,0.2681195,0.8258111
0.3,476.3592,42.08755,223.687,0.2681195,0.1106615
0.3183875,476.3595,42.08385,223.689,0.2395516,0.8214924
0.32,476.3595,42.08385,223.689,0.2395516,0.08604836
0.34,476.3599,42.08105,223.692,0.2325883,0.05557813
0.36,476.3602,42.07897,223.6949,0.2059044,0.0496978
0.38,476.3607,42.07758,223.6986,0.2144783,0.02899859
0.3916317,476.3611,42.07675,223.7028,0.2252301,0.8129268
0.4,476.3611,42.07675,223.7028,0.2252301,0.01774608
0.42,476.3617,42.07636,223.7071,0.2260454,0.02487223
0.44,476.3623,42.07634,223.7114,0.2210378,0.01516542
0.4512037,476.363,42.07663,223.7163,0.2459596,0.7981084
0.46,476.363,42.07663,223.7163,0.2459596,0.02704575
0.48,476.3637,42.07712,223.7209,0.2363583,0.02315639
0.5,476.3645,42.0778,223.7261,0.2588549,0.02213197
0.5189794,476.3654,42.07859,223.7317,0.2783253,0.7808433
0.52,476.3654,42.07859,223.7317,0.2783253,0.0297039
0.54,476.3661,42.07941,223.7369,0.2655889,0.0302529
0.56,476.367,42.08027,223.7426,0.2860131,0.02660954
0.58,476.3679,42.08112,223.7482,0.2849622,0.02535489
0.6,476.3687,42.08195,223.754,0.2972796,0.02418688
0.62,476.3697,42.08274,223.7602,0.3123803,0.02495262
0.6247241,476.3705,42.08347,223.7664,0.311408,0.747466
0.64,476.3705,42.08347,223.7664,0.311408,0.01620845
0.66,476.3714,42.08413,223.7726,0.3167912,0.0251225
0.68,476.3724,42.08474,223.7795,0.3450869,0.02660404
0.6847626,476.3735,42.08528,223.7865,0.3528981,0.7299126
0.7,476.3735,42.08528,223.7865,0.3528981,0.02312057
0.72,476.3745,42.08574,223.7933,0.3483692,0.02841119
0.74,476.3756,42.08613,223.8005,0.362752,0.02593546
0.76,476.3767,42.08647,223.8077,0.3695228,0.02773155
0.78,476.3778,42.08675,223.815,0.3713447,0.02870334
0.7915351,476.3789,42.08699,223.8224,0.3808166,0.6972873
0.8,476.3789,42.08699,223.8224,0.3808166,0.02893466
0.82,476.38,42.08719,223.8302,0.3914489,0.02959998
0.84,476.3811,42.08736,223.838,0.3978952,0.02858387
0.8513195,476.3822,42.08749,223.846,0.4076415,0.6777595
0.86,476.3822,42.08749,223.846,0.4076415,0.02684877
0.88,476.3833,42.0876,223.8541,0.41289,0.02688663
0.9,476.3845,42.0877,223.8626,0.4312828,0.029555
0.92,476.3859,42.08781,223.8718,0.4602725,0.02934545
0.94,476.3871,42.0879,223.8809,0.4585881,0.03550939
0.9585875,476.3884,42.08796,223.8899,0.4582015,0.6409277
0.96,476.3884,42.08796,223.8899,0.4582015,0.03514009
0.98,476.3895,42.08801,223.8988,0.4571083,0.03268467
